country,time_period,C0000,CF,CF_NR_OTH,CF_R,FE,G3000,N9000,O4000XBIO,RA000,RA100,RA110,RA120,RA130,RA200,RA300,RA310,RA320,RA400,RA410,RA420,RA500_5160,TOTAL,X9900,year,month,share_ra000,share_ra100,share_ra110,share_ra120,share_ra130,share_ra200,share_ra300,share_ra310,share_ra320,share_ra400,share_ra410,share_ra420,share_ra500_5160,share_cf,share_cf_r,share_cf_nr_oth,share_c0000,share_g3000,share_o4000xbio,share_fe,share_n9000,share_x9900
AL,2021-06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,685.176,680.452,680.452,0.0,0.0,0.0,0.0,0.0,0.0,4.724,0.0,4.724,0.0,685.176,0.0,2021,6,1.0,0.993105421088888,0.993105421088888,0.0,0.0,0.0,0.0,0.0,0.0,0.006894578911111889,0.0,0.006894578911111889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-07,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,639.673,634.829,634.829,0.0,0.0,0.0,0.0,0.0,0.0,4.844,0.0,4.844,0.0,639.673,0.0,2021,7,1.0,0.9924273808649106,0.9924273808649106,0.0,0.0,0.0,0.0,0.0,0.0,0.007572619135089335,0.0,0.007572619135089335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-08,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,453.248,448.66,448.66,0.0,0.0,0.0,0.0,0.0,0.0,4.588,0.0,4.588,0.0,453.248,0.0,2021,8,1.0,0.9898775063541373,0.9898775063541373,0.0,0.0,0.0,0.0,0.0,0.0,0.01012249364586275,0.0,0.01012249364586275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-09,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,288.069,284.315,284.315,0.0,0.0,0.0,0.0,0.0,0.0,3.754,0.0,3.754,0.0,288.069,0.0,2021,9,1.0,0.9869683999319607,0.9869683999319607,0.0,0.0,0.0,0.0,0.0,0.0,0.013031600068039254,0.0,0.013031600068039254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,313.048,310.024,310.024,0.0,0.0,0.0,0.0,0.0,0.0,3.024,0.0,3.024,0.0,313.047,0.0,2021,10,1.0000031944085073,0.9903433030822847,0.9903433030822847,0.0,0.0,0.0,0.0,0.0,0.0,0.009659891326222579,0.0,0.009659891326222579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,344.823,343.208,343.208,0.0,0.0,0.0,0.0,0.0,0.0,1.615,0.0,1.615,0.0,344.822,0.0,2021,11,1.0000029000469808,0.9953193241730517,0.9953193241730517,0.0,0.0,0.0,0.0,0.0,0.0,0.004683575873929158,0.0,0.004683575873929158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,938.389,936.577,936.577,0.0,0.0,0.0,0.0,0.0,0.0,1.812,0.0,1.812,0.0,938.389,0.0,2021,12,1.0,0.9980690310734673,0.9980690310734673,0.0,0.0,0.0,0.0,0.0,0.0,0.0019309689265326001,0.0,0.0019309689265326001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2022-01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,798.957,796.475,796.475,0.0,0.0,0.0,0.0,0.0,0.0,2.482,0.0,2.482,0.0,798.957,0.0,2022,1,1.0,0.9968934498352227,0.9968934498352227,0.0,0.0,0.0,0.0,0.0,0.0,0.0031065501647773285,0.0,0.0031065501647773285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2022-02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,575.537,572.656,572.656,0.0,0.0,0.0,0.0,0.0,0.0,2.881,0.0,2.881,0.0,575.537,0.0,2022,2,1.0,0.9949942401617966,0.9949942401617966,0.0,0.0,0.0,0.0,0.0,0.0,0.005005759838203277,0.0,0.005005759838203277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2022-03,0.0,0.144,0.144,0.0,,0.0,0.0,0.0,651.408,647.782,647.782,0.0,0.0,0.0,0.0,0.0,0.0,3.626,0.0,3.626,0.0,651.552,0.0,2022,3,0.9997789892441432,0.9942138156279161,0.9942138156279161,0.0,0.0,0.0,0.0,0.0,0.0,0.0055651736162271,0.0,0.0055651736162271,0.0,0.000221010755856785,0.0,0.000221010755856785,0.0,0.0,0.0,,0.0,0.0
AL,2022-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,697.597,693.511,693.511,0.0,0.0,0.0,0.0,0.0,0.0,4.086,0.0,4.086,0.0,697.597,0.0,2022,4,1.0,0.9941427500404961,0.9941427500404961,0.0,0.0,0.0,0.0,0.0,0.0,0.00585724995950384,0.0,0.00585724995950384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2022-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,573.015,568.21,568.21,0.0,0.0,0.0,0.0,0.0,0.0,4.805,0.0,4.805,0.0,573.015,0.0,2022,5,1.0,0.9916145301606416,0.9916145301606416,0.0,0.0,0.0,0.0,0.0,0.0,0.008385469839358482,0.0,0.008385469839358482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2022-06,0.0,0.132,0.132,0.0,,0.0,0.0,0.0,382.698,377.947,377.947,0.0,0.0,0.0,0.0,0.0,0.0,4.751,0.0,4.751,0.0,382.83,0.0,2022,6,0.9996551994357809,0.9872449912493797,0.9872449912493797,0.0,0.0,0.0,0.0,0.0,0.0,0.012410208186401275,0.0,0.012410208186401275,0.0,0.0003448005642191051,0.0,0.0003448005642191051,0.0,0.0,0.0,,0.0,0.0
AL,2022-07,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,450.858,445.644,445.644,0.0,0.0,0.0,0.0,0.0,0.0,5.214,0.0,5.214,0.0,450.858,0.0,2022,7,1.0,0.9884353832026935,0.9884353832026935,0.0,0.0,0.0,0.0,0.0,0.0,0.01156461679730647,0.0,0.01156461679730647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
