category,country,year,capacity_mw,group,is_renewable
Fossil Oil,AL,2017,97.0,fossil,False
Hydro_Pure_storage,AL,2017,1534.0,other,False
Hydro_RunOfRiver_and_poundage,AL,2017,301.0,other,False
Fossil Oil,AL,2018,97.0,fossil,False
Hydro_Pure_storage,AL,2018,1534.0,other,False
Hydro_RunOfRiver_and_poundage,AL,2018,301.0,other,False
Biomass,AL,2019,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2019,0.0,renewable,True
Hydro Water Reservoir,AL,2019,1492.0,renewable,True
Biomass,AL,2020,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2020,0.0,renewable,True
Hydro Water Reservoir,AL,2020,1492.0,renewable,True
Fossil Brown coal/Lignite,AL,2021,0.0,fossil,False
Fossil Coal-derived gas,AL,2021,0.0,fossil,False
Fossil Gas,AL,2021,0.0,fossil,False
Fossil Hard coal,AL,2021,0.0,fossil,False
Fossil Oil,AL,2021,97.0,fossil,False
Fossil Oil shale,AL,2021,0.0,fossil,False
Fossil Peat,AL,2021,0.0,fossil,False
Nuclear,AL,2021,0.0,nuclear,False
Other,AL,2021,0.0,other,False
Waste,AL,2021,0.0,other,False
Biomass,AL,2021,0.0,renewable,True
Geothermal,AL,2021,0.0,renewable,True
Hydro Pumped Storage,AL,2021,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2021,527.0,renewable,True
Hydro Water Reservoir,AL,2021,1676.0,renewable,True
Marine,AL,2021,0.0,renewable,True
Other renewable,AL,2021,0.0,renewable,True
Solar,AL,2021,0.0,renewable,True
Wind Offshore,AL,2021,0.0,renewable,True
Wind Onshore,AL,2021,0.0,renewable,True
Fossil Brown coal/Lignite,AL,2022,0.0,fossil,False
Fossil Coal-derived gas,AL,2022,0.0,fossil,False
Fossil Gas,AL,2022,0.0,fossil,False
Fossil Hard coal,AL,2022,0.0,fossil,False
Fossil Oil,AL,2022,97.0,fossil,False
Fossil Oil shale,AL,2022,0.0,fossil,False
Fossil Peat,AL,2022,0.0,fossil,False
Nuclear,AL,2022,0.0,nuclear,False
Other,AL,2022,0.0,other,False
Waste,AL,2022,0.0,other,False
Biomass,AL,2022,0.0,renewable,True
Geothermal,AL,2022,0.0,renewable,True
Hydro Pumped Storage,AL,2022,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2022,527.0,renewable,True
Hydro Water Reservoir,AL,2022,1676.0,renewable,True
Marine,AL,2022,0.0,renewable,True
Other renewable,AL,2022,0.0,renewable,True
Solar,AL,2022,0.0,renewable,True
Wind Offshore,AL,2022,0.0,renewable,True
Wind Onshore,AL,2022,0.0,renewable,True
Fossil Hard coal,AL,2023,0.0,fossil,False
Fossil Oil,AL,2023,97.0,fossil,False
Fossil Peat,AL,2023,0.0,fossil,False
Nuclear,AL,2023,0.0,nuclear,False
Biomass,AL,2023,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2023,527.0,renewable,True
Hydro Water Reservoir,AL,2023,1676.0,renewable,True
Solar,AL,2023,5.0,renewable,True
Fossil Brown coal/Lignite,AL,2024,0.0,fossil,False
Fossil Coal-derived gas,AL,2024,0.0,fossil,False
Fossil Gas,AL,2024,0.0,fossil,False
Fossil Hard coal,AL,2024,0.0,fossil,False
Fossil Oil,AL,2024,97.0,fossil,False
Fossil Oil shale,AL,2024,0.0,fossil,False
Fossil Peat,AL,2024,0.0,fossil,False
Nuclear,AL,2024,0.0,nuclear,False
Other,AL,2024,0.0,other,False
Waste,AL,2024,0.0,other,False
Biomass,AL,2024,0.0,renewable,True
Geothermal,AL,2024,0.0,renewable,True
Hydro Pumped Storage,AL,2024,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2024,527.0,renewable,True
Hydro Water Reservoir,AL,2024,1676.0,renewable,True
Marine,AL,2024,0.0,renewable,True
Other renewable,AL,2024,0.0,renewable,True
Solar,AL,2024,195.0,renewable,True
Wind Offshore,AL,2024,0.0,renewable,True
Wind Onshore,AL,2024,0.0,renewable,True
Fossil Gas,AT,2014,4888.0,fossil,False
Fossil Oil,AT,2014,334.0,fossil,False
Biogas,AT,2014,82.0,other,False
Fossil_Hard_coal,AT,2014,1171.0,other,False
Fossil_Mixed_fuels,AT,2014,436.0,other,False
Fossil_Other,AT,2014,414.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2014,7969.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2014,5599.0,other,False
Other_non_renewable,AT,2014,87.0,other,False
Solar_PV,AT,2014,586.12,other,False
Waste_renewable,AT,2014,21.96,other,False
Wind_onshore,AT,2014,2110.0,other,False
Biomass,AT,2014,523.37,renewable,True
Geothermal,AT,2014,1.0,renewable,True
Fossil Gas,AT,2015,4820.0,fossil,False
Fossil Oil,AT,2015,174.0,fossil,False
Biogas,AT,2015,82.0,other,False
Fossil_Hard_coal,AT,2015,1171.0,other,False
Fossil_Mixed_fuels,AT,2015,480.0,other,False
Fossil_Other,AT,2015,414.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,AT,2015,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2015,7994.0,other,False
Hydro_Pure_storage,AT,2015,0.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2015,5662.0,other,False
Non_identified_net_gen,AT,2015,0.0,other,False
Other_non_renewable,AT,2015,90.0,other,False
Other_renewable,AT,2015,0.0,other,False
Solar_PV,AT,2015,732.0,other,False
Waste_renewable,AT,2015,23.0,other,False
Wind_onshore,AT,2015,2489.0,other,False
Biomass,AT,2015,514.0,renewable,True
Geothermal,AT,2015,1.0,renewable,True
Fossil Gas,AT,2016,4841.0,fossil,False
Fossil Oil,AT,2016,166.0,fossil,False
Biogas,AT,2016,90.0,other,False
Fossil_Hard_coal,AT,2016,598.0,other,False
Fossil_Mixed_fuels,AT,2016,436.0,other,False
Fossil_Other,AT,2016,414.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,AT,2016,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2016,8424.0,other,False
Hydro_Pure_storage,AT,2016,0.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2016,5692.0,other,False
Non_identified_net_gen,AT,2016,0.0,other,False
Other_non_renewable,AT,2016,105.0,other,False
Other_renewable,AT,2016,0.0,other,False
Solar_PV,AT,2016,1031.0,other,False
Waste_renewable,AT,2016,22.0,other,False
Wind_onshore,AT,2016,2730.0,other,False
Biomass,AT,2016,482.0,renewable,True
Geothermal,AT,2016,1.0,renewable,True
Fossil Gas,AT,2017,4841.0,fossil,False
Fossil Oil,AT,2017,166.0,fossil,False
Biogas,AT,2017,90.0,other,False
Fossil_Hard_coal,AT,2017,598.0,other,False
Fossil_Mixed_fuels,AT,2017,436.0,other,False
Fossil_Other,AT,2017,414.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,AT,2017,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2017,8424.0,other,False
Hydro_Pure_storage,AT,2017,0.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2017,5692.0,other,False
Non_identified_net_gen,AT,2017,0.0,other,False
Other_non_renewable,AT,2017,105.0,other,False
Other_renewable,AT,2017,0.0,other,False
Solar_PV,AT,2017,1031.0,other,False
Waste_renewable,AT,2017,22.0,other,False
Wind_onshore,AT,2017,2730.0,other,False
Biomass,AT,2017,482.0,renewable,True
Geothermal,AT,2017,1.0,renewable,True
Fossil Gas,AT,2018,4853.0,fossil,False
Fossil Oil,AT,2018,168.0,fossil,False
Biogas,AT,2018,85.0,other,False
Fossil_Hard_coal,AT,2018,598.0,other,False
Fossil_Mixed_fuels,AT,2018,436.0,other,False
Fossil_Other,AT,2018,414.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,AT,2018,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2018,8436.0,other,False
Hydro_Pure_storage,AT,2018,0.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2018,5714.0,other,False
Non_identified_net_gen,AT,2018,0.0,other,False
Other_non_renewable,AT,2018,105.0,other,False
Other_renewable,AT,2018,0.0,other,False
Solar_PV,AT,2018,1193.0,other,False
Waste_renewable,AT,2018,22.0,other,False
Wind_onshore,AT,2018,2887.0,other,False
Biomass,AT,2018,501.0,renewable,True
Geothermal,AT,2018,1.0,renewable,True
Fossil Brown coal/Lignite,AT,2019,0.0,fossil,False
Fossil Coal-derived gas,AT,2019,0.0,fossil,False
Fossil Gas,AT,2019,4463.2,fossil,False
Fossil Hard coal,AT,2019,598.0,fossil,False
Fossil Oil,AT,2019,177.9,fossil,False
Fossil Oil shale,AT,2019,0.0,fossil,False
Fossil Peat,AT,2019,0.0,fossil,False
Nuclear,AT,2019,0.0,nuclear,False
Other,AT,2019,22.8,other,False
Waste,AT,2019,150.0,other,False
Biomass,AT,2019,499.8,renewable,True
Geothermal,AT,2019,0.9,renewable,True
Hydro Pumped Storage,AT,2019,3120.1,renewable,True
Hydro Run-of-river and poundage,AT,2019,5557.8,renewable,True
Hydro Water Reservoir,AT,2019,2439.6,renewable,True
Marine,AT,2019,0.0,renewable,True
Other renewable,AT,2019,42.3,renewable,True
Solar,AT,2019,1192.7,renewable,True
Wind Offshore,AT,2019,0.0,renewable,True
Wind Onshore,AT,2019,3034.6,renewable,True
Fossil Brown coal/Lignite,AT,2020,0.0,fossil,False
Fossil Coal-derived gas,AT,2020,0.0,fossil,False
Fossil Gas,AT,2020,4015.3,fossil,False
Fossil Hard coal,AT,2020,246.0,fossil,False
Fossil Oil,AT,2020,177.9,fossil,False
Fossil Oil shale,AT,2020,0.0,fossil,False
Fossil Peat,AT,2020,0.0,fossil,False
Nuclear,AT,2020,0.0,nuclear,False
Other,AT,2020,22.8,other,False
Waste,AT,2020,150.0,other,False
Biomass,AT,2020,497.0,renewable,True
Geothermal,AT,2020,0.0,renewable,True
Hydro Pumped Storage,AT,2020,3120.1,renewable,True
Hydro Run-of-river and poundage,AT,2020,5724.0,renewable,True
Hydro Water Reservoir,AT,2020,2435.7,renewable,True
Marine,AT,2020,0.0,renewable,True
Other renewable,AT,2020,100.0,renewable,True
Solar,AT,2020,1333.0,renewable,True
Wind Offshore,AT,2020,0.0,renewable,True
Wind Onshore,AT,2020,3133.0,renewable,True
Fossil Brown coal/Lignite,AT,2021,0.0,fossil,False
Fossil Coal-derived gas,AT,2021,0.0,fossil,False
Fossil Gas,AT,2021,4449.0,fossil,False
Fossil Hard coal,AT,2021,0.0,fossil,False
Fossil Oil,AT,2021,164.0,fossil,False
Fossil Oil shale,AT,2021,0.0,fossil,False
Fossil Peat,AT,2021,0.0,fossil,False
Nuclear,AT,2021,0.0,nuclear,False
Other,AT,2021,957.0,other,False
Waste,AT,2021,103.0,other,False
Biomass,AT,2021,497.0,renewable,True
Geothermal,AT,2021,1.0,renewable,True
Hydro Pumped Storage,AT,2021,3459.0,renewable,True
Hydro Run-of-river and poundage,AT,2021,5941.0,renewable,True
Hydro Water Reservoir,AT,2021,2430.0,renewable,True
Marine,AT,2021,0.0,renewable,True
Other renewable,AT,2021,0.0,renewable,True
Solar,AT,2021,1851.0,renewable,True
Wind Offshore,AT,2021,0.0,renewable,True
Wind Onshore,AT,2021,3198.0,renewable,True
Fossil Brown coal/Lignite,AT,2022,0.0,fossil,False
Fossil Coal-derived gas,AT,2022,0.0,fossil,False
Fossil Gas,AT,2022,4349.5,fossil,False
Fossil Hard coal,AT,2022,0.0,fossil,False
Fossil Oil,AT,2022,163.61,fossil,False
Fossil Oil shale,AT,2022,0.0,fossil,False
Fossil Peat,AT,2022,0.0,fossil,False
Nuclear,AT,2022,0.0,nuclear,False
Other,AT,2022,954.0,other,False
Waste,AT,2022,103.0,other,False
Biomass,AT,2022,482.0,renewable,True
Geothermal,AT,2022,0.0,renewable,True
Hydro Pumped Storage,AT,2022,3503.28,renewable,True
Hydro Run-of-river and poundage,AT,2022,5836.87,renewable,True
Hydro Water Reservoir,AT,2022,2474.95,renewable,True
Marine,AT,2022,0.0,renewable,True
Other renewable,AT,2022,0.0,renewable,True
Solar,AT,2022,2500.0,renewable,True
Wind Offshore,AT,2022,0.0,renewable,True
Wind Onshore,AT,2022,3500.0,renewable,True
Fossil Brown coal/Lignite,AT,2023,0.0,fossil,False
Fossil Coal-derived gas,AT,2023,0.0,fossil,False
Fossil Gas,AT,2023,4206.12,fossil,False
Fossil Hard coal,AT,2023,0.0,fossil,False
Fossil Oil,AT,2023,120.0,fossil,False
Fossil Oil shale,AT,2023,0.0,fossil,False
Fossil Peat,AT,2023,0.0,fossil,False
Nuclear,AT,2023,0.0,nuclear,False
Other,AT,2023,845.24,other,False
Waste,AT,2023,103.0,other,False
Biomass,AT,2023,482.0,renewable,True
Geothermal,AT,2023,0.0,renewable,True
Hydro Pumped Storage,AT,2023,3362.5,renewable,True
Hydro Run-of-river and poundage,AT,2023,5902.03,renewable,True
Hydro Water Reservoir,AT,2023,2770.53,renewable,True
Marine,AT,2023,0.0,renewable,True
Other renewable,AT,2023,0.0,renewable,True
Solar,AT,2023,3265.3,renewable,True
Wind Offshore,AT,2023,0.0,renewable,True
Wind Onshore,AT,2023,3568.82,renewable,True
Fossil Brown coal/Lignite,AT,2024,0.0,fossil,False
Fossil Coal-derived gas,AT,2024,0.0,fossil,False
Fossil Gas,AT,2024,4225.0,fossil,False
Fossil Hard coal,AT,2024,0.0,fossil,False
Fossil Oil,AT,2024,125.0,fossil,False
Fossil Oil shale,AT,2024,0.0,fossil,False
Fossil Peat,AT,2024,0.0,fossil,False
Nuclear,AT,2024,0.0,nuclear,False
Other,AT,2024,879.0,other,False
Waste,AT,2024,80.0,other,False
Biomass,AT,2024,549.0,renewable,True
Geothermal,AT,2024,0.25,renewable,True
Hydro Pumped Storage,AT,2024,3485.0,renewable,True
Hydro Run-of-river and poundage,AT,2024,5817.0,renewable,True
Hydro Water Reservoir,AT,2024,2519.0,renewable,True
Marine,AT,2024,0.0,renewable,True
Other renewable,AT,2024,0.0,renewable,True
Solar,AT,2024,7294.0,renewable,True
Wind Offshore,AT,2024,0.0,renewable,True
Wind Onshore,AT,2024,4021.0,renewable,True
Fossil_Brown_coal_Lignite,BA,2014,1578.0,other,False
Hydro_Mixed_pumped_storage_renewable,BA,2014,440.0,other,False
Hydro_Pure_storage,BA,2014,1620.0,other,False
Fossil_Brown_coal_Lignite,BA,2015,1613.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,BA,2015,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,BA,2015,440.0,other,False
Hydro_Pure_storage,BA,2015,1649.0,other,False
Non_identified_net_gen,BA,2015,0.0,other,False
Wind_onshore,BA,2015,0.0,other,False
Fossil_Brown_coal_Lignite,BA,2016,1876.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,BA,2016,440.0,other,False
Hydro_Mixed_pumped_storage_renewable,BA,2016,0.0,other,False
Hydro_Pure_storage,BA,2016,1656.0,other,False
Non_identified_net_gen,BA,2016,0.0,other,False
Fossil_Brown_coal_Lignite,BA,2017,1888.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,BA,2017,440.0,other,False
Hydro_Mixed_pumped_storage_renewable,BA,2017,0.0,other,False
Hydro_Pure_storage,BA,2017,1656.0,other,False
Non_identified_net_gen,BA,2017,0.0,other,False
Fossil_Brown_coal_Lignite,BA,2018,1888.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,BA,2018,105.0,other,False
Hydro_Mixed_pumped_storage_renewable,BA,2018,335.0,other,False
Hydro_Pure_storage,BA,2018,1665.0,other,False
Non_identified_net_gen,BA,2018,0.0,other,False
Wind_onshore,BA,2018,50.6,other,False
Fossil Brown coal/Lignite,BA,2019,988.5,fossil,False
Fossil Hard coal,BA,2019,887.0,fossil,False
Hydro Water Reservoir,BA,2019,2169.8,renewable,True
Wind Onshore,BA,2019,86.6,renewable,True
Fossil Brown coal/Lignite,BA,2020,988.0,fossil,False
Fossil Hard coal,BA,2020,887.0,fossil,False
Hydro Pumped Storage,BA,2020,440.0,renewable,True
Hydro Run-of-river and poundage,BA,2020,1083.4,renewable,True
Hydro Water Reservoir,BA,2020,707.0,renewable,True
Wind Onshore,BA,2020,86.6,renewable,True
Fossil Brown coal/Lignite,BA,2021,988.0,fossil,False
Fossil Hard coal,BA,2021,887.0,fossil,False
Hydro Pumped Storage,BA,2021,440.0,renewable,True
Hydro Run-of-river and poundage,BA,2021,1083.4,renewable,True
Hydro Water Reservoir,BA,2021,707.0,renewable,True
Wind Onshore,BA,2021,145.0,renewable,True
Fossil Brown coal/Lignite,BA,2022,1888.0,fossil,False
Hydro Pumped Storage,BA,2022,440.0,renewable,True
Hydro Run-of-river and poundage,BA,2022,290.7,renewable,True
Hydro Water Reservoir,BA,2022,1456.0,renewable,True
Wind Onshore,BA,2022,134.6,renewable,True
Fossil Brown coal/Lignite,BA,2023,1883.0,fossil,False
Hydro Pumped Storage,BA,2023,440.0,renewable,True
Hydro Run-of-river and poundage,BA,2023,252.0,renewable,True
Hydro Water Reservoir,BA,2023,1456.0,renewable,True
Wind Onshore,BA,2023,134.6,renewable,True
Fossil Brown coal/Lignite,BA,2024,1883.0,fossil,False
Hydro Pumped Storage,BA,2024,440.0,renewable,True
Hydro Run-of-river and poundage,BA,2024,252.0,renewable,True
Hydro Water Reservoir,BA,2024,1456.0,renewable,True
Solar,BA,2024,29.9,renewable,True
Wind Onshore,BA,2024,134.6,renewable,True
Fossil Gas,BE,2014,6019.0,fossil,False
Fossil Oil,BE,2014,219.0,fossil,False
Nuclear,BE,2014,5926.0,nuclear,False
Fossil_Hard_coal,BE,2014,470.0,other,False
Hydro_Pure_pumped_Storage,BE,2014,1308.0,other,False
Hydro_RunOfRiver_and_poundage,BE,2014,117.0,other,False
Solar_PV,BE,2014,2986.0,other,False
Waste_non_renewable,BE,2014,292.0,other,False
Wind_offshore,BE,2014,706.0,other,False
Wind_onshore,BE,2014,1233.0,other,False
Biomass,BE,2014,838.0,renewable,True
Fossil Gas,BE,2015,6064.0,fossil,False
Fossil Oil,BE,2015,179.0,fossil,False
Nuclear,BE,2015,5926.0,nuclear,False
Biogas,BE,2015,0.0,other,False
Fossil_Hard_coal,BE,2015,470.0,other,False
Hydro_Pure_pumped_Storage,BE,2015,1308.0,other,False
Hydro_RunOfRiver_and_poundage,BE,2015,116.0,other,False
Other_non_renewable,BE,2015,46.0,other,False
Other_renewable,BE,2015,0.0,other,False
Solar_PV,BE,2015,3068.0,other,False
Waste_non_renewable,BE,2015,292.0,other,False
Waste_renewable,BE,2015,0.0,other,False
Wind_offshore,BE,2015,712.0,other,False
Wind_onshore,BE,2015,1460.0,other,False
Biomass,BE,2015,918.0,renewable,True
Fossil Gas,BE,2016,6546.0,fossil,False
Fossil Oil,BE,2016,160.0,fossil,False
Nuclear,BE,2016,5926.0,nuclear,False
Biogas,BE,2016,0.0,other,False
Fossil_Hard_coal,BE,2016,0.0,other,False
Hydro_Pure_pumped_Storage,BE,2016,1308.0,other,False
Hydro_RunOfRiver_and_poundage,BE,2016,122.0,other,False
Other_non_renewable,BE,2016,59.0,other,False
Other_renewable,BE,2016,0.0,other,False
Solar_PV,BE,2016,3087.0,other,False
Waste_non_renewable,BE,2016,313.0,other,False
Waste_renewable,BE,2016,0.0,other,False
Wind_offshore,BE,2016,712.0,other,False
Wind_onshore,BE,2016,1580.0,other,False
Biomass,BE,2016,823.0,renewable,True
Fossil Gas,BE,2017,6688.0,fossil,False
Fossil Oil,BE,2017,158.0,fossil,False
Nuclear,BE,2017,5919.0,nuclear,False
Biogas,BE,2017,0.0,other,False
Fossil_Hard_coal,BE,2017,0.0,other,False
Hydro_Pure_pumped_Storage,BE,2017,1308.0,other,False
Hydro_RunOfRiver_and_poundage,BE,2017,122.0,other,False
Other_non_renewable,BE,2017,77.0,other,False
Other_renewable,BE,2017,0.0,other,False
Solar_PV,BE,2017,3380.0,other,False
Waste_non_renewable,BE,2017,314.0,other,False
Waste_renewable,BE,2017,0.0,other,False
Wind_offshore,BE,2017,878.0,other,False
Wind_onshore,BE,2017,1929.0,other,False
Biomass,BE,2017,806.0,renewable,True
Fossil Gas,BE,2018,6974.0,fossil,False
Fossil Oil,BE,2018,404.0,fossil,False
Nuclear,BE,2018,5919.0,nuclear,False
Biogas,BE,2018,0.0,other,False
Fossil_Coal_derived_gas,BE,2018,0.0,other,False
Fossil_Hard_coal,BE,2018,0.0,other,False
Hydro_Pure_pumped_Storage,BE,2018,1308.0,other,False
Hydro_RunOfRiver_and_poundage,BE,2018,125.0,other,False
Other_non_renewable,BE,2018,0.0,other,False
Other_renewable,BE,2018,0.0,other,False
Solar_PV,BE,2018,3581.0,other,False
Waste_non_renewable,BE,2018,302.0,other,False
Waste_renewable,BE,2018,0.0,other,False
Wind_offshore,BE,2018,1179.0,other,False
Wind_onshore,BE,2018,2068.0,other,False
Biomass,BE,2018,811.0,renewable,True
Fossil Gas,BE,2019,6641.97,fossil,False
Fossil Oil,BE,2019,242.13,fossil,False
Nuclear,BE,2019,5943.0,nuclear,False
Other,BE,2019,18.5,other,False
Waste,BE,2019,362.14,other,False
Biomass,BE,2019,619.25,renewable,True
Hydro Pumped Storage,BE,2019,1308.0,renewable,True
Hydro Run-of-river and poundage,BE,2019,172.49,renewable,True
Solar,BE,2019,3369.05,renewable,True
Wind Offshore,BE,2019,1548.2,renewable,True
Wind Onshore,BE,2019,2248.08,renewable,True
Fossil Gas,BE,2020,6798.85,fossil,False
Fossil Oil,BE,2020,246.28,fossil,False
Nuclear,BE,2020,5943.0,nuclear,False
Other,BE,2020,18.5,other,False
Waste,BE,2020,362.14,other,False
Biomass,BE,2020,647.39,renewable,True
Hydro Pumped Storage,BE,2020,1308.0,renewable,True
Hydro Run-of-river and poundage,BE,2020,175.34,renewable,True
Solar,BE,2020,3886.6,renewable,True
Wind Offshore,BE,2020,2254.4,renewable,True
Wind Onshore,BE,2020,2416.43,renewable,True
Fossil Gas,BE,2021,7281.57,fossil,False
Fossil Oil,BE,2021,275.32,fossil,False
Nuclear,BE,2021,5943.0,nuclear,False
Other,BE,2021,18.5,other,False
Waste,BE,2021,362.14,other,False
Biomass,BE,2021,672.09,renewable,True
Hydro Pumped Storage,BE,2021,1308.0,renewable,True
Hydro Run-of-river and poundage,BE,2021,175.7,renewable,True
Solar,BE,2021,4787.56,renewable,True
Wind Offshore,BE,2021,2254.4,renewable,True
Wind Onshore,BE,2021,2629.0,renewable,True
Fossil Gas,BE,2022,6818.77,fossil,False
Fossil Oil,BE,2022,398.47,fossil,False
Nuclear,BE,2022,5943.0,nuclear,False
Other,BE,2022,18.5,other,False
Waste,BE,2022,383.64,other,False
Biomass,BE,2022,700.47,renewable,True
Hydro Pumped Storage,BE,2022,1308.0,renewable,True
Hydro Run-of-river and poundage,BE,2022,184.7,renewable,True
Solar,BE,2022,4787.56,renewable,True
Wind Offshore,BE,2022,2254.4,renewable,True
Wind Onshore,BE,2022,2786.65,renewable,True
Fossil Gas,BE,2023,6987.62,fossil,False
Fossil Oil,BE,2023,449.87,fossil,False
Nuclear,BE,2023,4937.0,nuclear,False
Other,BE,2023,27.05,other,False
Waste,BE,2023,383.64,other,False
Biomass,BE,2023,730.34,renewable,True
Hydro Pumped Storage,BE,2023,1308.0,renewable,True
Hydro Run-of-river and poundage,BE,2023,185.51,renewable,True
Solar,BE,2023,6474.96,renewable,True
Wind Offshore,BE,2023,2262.1,renewable,True
Wind Onshore,BE,2023,3053.18,renewable,True
Fossil Gas,BE,2024,6994.91,fossil,False
Fossil Oil,BE,2024,451.51,fossil,False
Nuclear,BE,2024,3929.0,nuclear,False
Other,BE,2024,27.08,other,False
Waste,BE,2024,383.64,other,False
Biomass,BE,2024,730.82,renewable,True
Hydro Pumped Storage,BE,2024,1308.0,renewable,True
Hydro Run-of-river and poundage,BE,2024,185.51,renewable,True
Solar,BE,2024,8788.79,renewable,True
Wind Offshore,BE,2024,2262.1,renewable,True
Wind Onshore,BE,2024,3053.18,renewable,True
Fossil Gas,BG,2014,838.0,fossil,False
Nuclear,BG,2014,2000.0,nuclear,False
Fossil_Brown_coal_Lignite,BG,2014,4199.0,other,False
Fossil_Hard_coal,BG,2014,1548.0,other,False
Hydro_Mixed_pumped_storage_renewable,BG,2014,190.0,other,False
Hydro_Pure_pumped_Storage,BG,2014,864.0,other,False
Hydro_Pure_storage,BG,2014,1537.0,other,False
Hydro_RunOfRiver_and_poundage,BG,2014,600.0,other,False
Solar_PV,BG,2014,1039.0,other,False
Wind_onshore,BG,2014,701.0,other,False
Biomass,BG,2014,47.0,renewable,True
Fossil Gas,BG,2015,799.0,fossil,False
Nuclear,BG,2015,2000.0,nuclear,False
Fossil_Brown_coal_Lignite,BG,2015,4199.0,other,False
Fossil_Hard_coal,BG,2015,708.0,other,False
Hydro_Mixed_pumped_storage_renewable,BG,2015,190.0,other,False
Hydro_Pure_pumped_Storage,BG,2015,864.0,other,False
Hydro_Pure_storage,BG,2015,1537.0,other,False
Hydro_RunOfRiver_and_poundage,BG,2015,607.0,other,False
Solar_PV,BG,2015,1041.0,other,False
Wind_onshore,BG,2015,701.0,other,False
Biomass,BG,2015,64.0,renewable,True
Fossil Gas,BG,2016,775.25,fossil,False
Nuclear,BG,2016,2000.0,nuclear,False
Fossil_Brown_coal_Lignite,BG,2016,4199.4,other,False
Fossil_Hard_coal,BG,2016,708.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,BG,2016,133.0,other,False
Hydro_Mixed_pumped_storage_renewable,BG,2016,57.0,other,False
Hydro_Pure_pumped_Storage,BG,2016,864.0,other,False
Hydro_Pure_storage,BG,2016,1537.0,other,False
Hydro_RunOfRiver_and_poundage,BG,2016,613.0,other,False
Solar_PV,BG,2016,1043.49,other,False
Wind_onshore,BG,2016,701.35,other,False
Biomass,BG,2016,69.45,renewable,True
Fossil Gas,BG,2017,563.0,fossil,False
Nuclear,BG,2017,2000.0,nuclear,False
Fossil_Brown_coal_Lignite,BG,2017,4119.0,other,False
Fossil_Hard_coal,BG,2017,362.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,BG,2017,133.0,other,False
Hydro_Mixed_pumped_storage_renewable,BG,2017,57.0,other,False
Hydro_Pure_pumped_Storage,BG,2017,864.0,other,False
Hydro_Pure_storage,BG,2017,1537.0,other,False
Hydro_RunOfRiver_and_poundage,BG,2017,613.0,other,False
Solar_PV,BG,2017,1046.34,other,False
Wind_onshore,BG,2017,701.35,other,False
Biomass,BG,2017,76.85,renewable,True
Fossil Gas,BG,2018,755.0,fossil,False
Nuclear,BG,2018,1950.0,nuclear,False
Fossil_Brown_coal_Lignite,BG,2018,3557.6,other,False
Fossil_Hard_coal,BG,2018,175.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,BG,2018,133.0,other,False
Hydro_Mixed_pumped_storage_renewable,BG,2018,57.0,other,False
Hydro_Pure_pumped_Storage,BG,2018,864.0,other,False
Hydro_Pure_storage,BG,2018,1533.7,other,False
Hydro_RunOfRiver_and_poundage,BG,2018,600.0,other,False
Solar_PV,BG,2018,1052.0,other,False
Wind_onshore,BG,2018,700.0,other,False
Biomass,BG,2018,77.0,renewable,True
Fossil Brown coal/Lignite,BG,2019,4119.0,fossil,False
Fossil Gas,BG,2019,1232.0,fossil,False
Fossil Hard coal,BG,2019,356.0,fossil,False
Nuclear,BG,2019,2000.0,nuclear,False
Waste,BG,2019,6.0,other,False
Biomass,BG,2019,74.0,renewable,True
Hydro Pumped Storage,BG,2019,864.0,renewable,True
Hydro Run-of-river and poundage,BG,2019,537.0,renewable,True
Hydro Water Reservoir,BG,2019,1810.0,renewable,True
Solar,BG,2019,1059.0,renewable,True
Wind Onshore,BG,2019,700.0,renewable,True
Fossil Brown coal/Lignite,BG,2020,4119.0,fossil,False
