category,country,year,capacity_mw,group,is_renewable
Non_identified_net_gen,FR,2017,0.0,other,False
Other_renewable,FR,2017,1727.66,other,False
Solar_PV,FR,2017,7653.86,other,False
Solar_Thermal,FR,2017,0.0,other,False
Waste_non_renewable,FR,2017,0.0,other,False
Waste_renewable,FR,2017,867.63,other,False
Wind_offshore,FR,2017,0.0,other,False
Wind_onshore,FR,2017,13549.62,other,False
Biomass,FR,2017,653.14,renewable,True
Fossil Gas,FR,2018,12150.62,fossil,False
Fossil Oil,FR,2018,3440.6,fossil,False
Nuclear,FR,2018,63130.0,nuclear,False
Biogas,FR,2018,452.1,other,False
Fossil_Hard_coal,FR,2018,2997.0,other,False
Hydro_Marine,FR,2018,240.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,FR,2018,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,FR,2018,2455.0,other,False
Hydro_RunOfRiver_and_poundage,FR,2018,21092.19,other,False
Non_identified_net_gen,FR,2018,0.0,other,False
Other_renewable,FR,2018,1727.66,other,False
Solar_PV,FR,2018,8526.18,other,False
Solar_Thermal,FR,2018,0.0,other,False
Waste_non_renewable,FR,2018,0.0,other,False
Waste_renewable,FR,2018,882.78,other,False
Wind_offshore,FR,2018,0.0,other,False
Wind_onshore,FR,2018,15083.81,other,False
Biomass,FR,2018,691.49,renewable,True
Fossil Gas,FR,2019,11952.0,fossil,False
Fossil Hard coal,FR,2019,3966.0,fossil,False
Fossil Oil,FR,2019,3271.0,fossil,False
Nuclear,FR,2019,63130.0,nuclear,False
Other,FR,2019,108.0,other,False
Biomass,FR,2019,1931.0,renewable,True
Hydro Pumped Storage,FR,2019,5023.0,renewable,True
Hydro Run-of-river and poundage,FR,2019,10955.0,renewable,True
Hydro Water Reservoir,FR,2019,8279.0,renewable,True
Marine,FR,2019,240.0,renewable,True
Solar,FR,2019,8188.0,renewable,True
Wind Onshore,FR,2019,13610.0,renewable,True
Fossil Gas,FR,2020,12237.6,fossil,False
Fossil Hard coal,FR,2020,1812.0,fossil,False
Fossil Oil,FR,2020,2874.21,fossil,False
Nuclear,FR,2020,63130.0,nuclear,False
Other,FR,2020,1069.85,other,False
Waste,FR,2020,460.15,other,False
Biomass,FR,2020,1578.18,renewable,True
Hydro Pumped Storage,FR,2020,5064.0,renewable,True
Hydro Run-of-river and poundage,FR,2020,11475.0,renewable,True
Hydro Water Reservoir,FR,2020,8785.09,renewable,True
Marine,FR,2020,246.0,renewable,True
Solar,FR,2020,9437.84,renewable,True
Wind Offshore,FR,2020,14.0,renewable,True
Wind Onshore,FR,2020,16577.88,renewable,True
Fossil Gas,FR,2021,12217.68,fossil,False
Fossil Hard coal,FR,2021,2976.67,fossil,False
Fossil Oil,FR,2021,2745.99,fossil,False
Nuclear,FR,2021,61370.0,nuclear,False
Other,FR,2021,1120.04,other,False
Biomass,FR,2021,1579.25,renewable,True
Hydro Pumped Storage,FR,2021,4655.26,renewable,True
Hydro Run-of-river and poundage,FR,2021,9554.38,renewable,True
Hydro Water Reservoir,FR,2021,6655.25,renewable,True
Marine,FR,2021,245.52,renewable,True
Solar,FR,2021,10212.96,renewable,True
Wind Offshore,FR,2021,10.0,renewable,True
Wind Onshore,FR,2021,17216.65,renewable,True
Fossil Gas,FR,2022,13074.11,fossil,False
Fossil Hard coal,FR,2022,1815.81,fossil,False
Fossil Oil,FR,2022,2761.79,fossil,False
Nuclear,FR,2022,61370.0,nuclear,False
Other,FR,2022,1156.69,other,False
Waste,FR,2022,947.21,other,False
Biomass,FR,2022,1300.89,renewable,True
Geothermal,FR,2022,1.85,renewable,True
Hydro Pumped Storage,FR,2022,5049.96,renewable,True
Hydro Run-of-river and poundage,FR,2022,11834.14,renewable,True
Hydro Water Reservoir,FR,2022,8785.22,renewable,True
Marine,FR,2022,242.81,renewable,True
Solar,FR,2022,13153.79,renewable,True
Wind Offshore,FR,2022,20.0,renewable,True
Wind Onshore,FR,2022,19515.54,renewable,True
Fossil Gas,FR,2023,12892.82,fossil,False
Fossil Hard coal,FR,2023,1815.81,fossil,False
Fossil Oil,FR,2023,2565.78,fossil,False
Nuclear,FR,2023,61370.0,nuclear,False
Other,FR,2023,1145.23,other,False
Waste,FR,2023,928.77,other,False
Biomass,FR,2023,1342.69,renewable,True
Geothermal,FR,2023,1.85,renewable,True
Hydro Pumped Storage,FR,2023,5051.05,renewable,True
Hydro Run-of-river and poundage,FR,2023,11695.29,renewable,True
Hydro Water Reservoir,FR,2023,8787.34,renewable,True
Marine,FR,2023,242.81,renewable,True
Solar,FR,2023,14638.79,renewable,True
Wind Offshore,FR,2023,493.5,renewable,True
Wind Onshore,FR,2023,20841.9,renewable,True
Fossil Gas,FR,2024,13133.29,fossil,False
Fossil Hard coal,FR,2024,1812.46,fossil,False
Fossil Oil,FR,2024,3042.47,fossil,False
Nuclear,FR,2024,61370.0,nuclear,False
Other,FR,2024,1031.9,other,False
Waste,FR,2024,967.67,other,False
Biomass,FR,2024,1402.71,renewable,True
Geothermal,FR,2024,1.85,renewable,True
Hydro Pumped Storage,FR,2024,5064.73,renewable,True
Hydro Run-of-river and poundage,FR,2024,11598.12,renewable,True
Hydro Water Reservoir,FR,2024,8787.34,renewable,True
Marine,FR,2024,243.09,renewable,True
Solar,FR,2024,17419.3,renewable,True
Wind Offshore,FR,2024,1483.0,renewable,True
Wind Onshore,FR,2024,22134.06,renewable,True
Fossil Gas,GB,2014,28688.0,fossil,False
Fossil Oil,GB,2014,2119.0,fossil,False
Nuclear,GB,2014,9779.0,nuclear,False
Fossil_Hard_coal,GB,2014,19429.0,other,False
Hydro_Pure_storage,GB,2014,2897.0,other,False
Hydro_RunOfRiver_and_poundage,GB,2014,1074.0,other,False
Solar_PV,GB,2014,5991.0,other,False
Wind_offshore,GB,2014,3889.0,other,False
Wind_onshore,GB,2014,3889.0,other,False
Biomass,GB,2014,1137.0,renewable,True
Fossil Gas,GB,2015,29050.0,fossil,False
Fossil Oil,GB,2015,938.0,fossil,False
Nuclear,GB,2015,8981.0,nuclear,False
Fossil_Hard_coal,GB,2015,17926.0,other,False
Hydro_Pure_storage,GB,2015,2744.0,other,False
Hydro_RunOfRiver_and_poundage,GB,2015,1122.0,other,False
Solar_PV,GB,2015,9063.0,other,False
Wind_offshore,GB,2015,4251.0,other,False
Wind_onshore,GB,2015,4251.0,other,False
Biomass,GB,2015,1377.0,renewable,True
Fossil Gas,GB,2016,30600.0,fossil,False
Fossil Oil,GB,2016,880.0,fossil,False
Nuclear,GB,2016,9230.0,nuclear,False
Fossil_Hard_coal,GB,2016,15450.0,other,False
Hydro_Mixed_pumped_storage_renewable,GB,2016,1090.0,other,False
Hydro_Pure_storage,GB,2016,2830.0,other,False
Solar_PV,GB,2016,11500.0,other,False
Waste_renewable,GB,2016,0.0,other,False
Wind_offshore,GB,2016,5000.0,other,False
Wind_onshore,GB,2016,10000.0,other,False
Biomass,GB,2016,1377.0,renewable,True
Fossil Gas,GB,2017,31124.0,fossil,False
Fossil Oil,GB,2017,875.0,fossil,False
Nuclear,GB,2017,9248.0,nuclear,False
Biogas,GB,2017,1.0,other,False
Fossil_Hard_coal,GB,2017,14145.0,other,False
Hydro_Mixed_pumped_storage_renewable,GB,2017,1.0,other,False
Hydro_Pure_storage,GB,2017,2828.0,other,False
Hydro_RunOfRiver_and_poundage,GB,2017,992.0,other,False
Solar_PV,GB,2017,12900.0,other,False
Waste_renewable,GB,2017,1.0,other,False
Wind_offshore,GB,2017,5400.0,other,False
Wind_onshore,GB,2017,12950.0,other,False
Biomass,GB,2017,2097.0,renewable,True
Fossil Gas,GB,2018,30176.0,fossil,False
Fossil Oil,GB,2018,882.0,fossil,False
Nuclear,GB,2018,9160.0,nuclear,False
Biogas,GB,2018,1.0,other,False
Fossil_Hard_coal,GB,2018,10860.0,other,False
Hydro_Mixed_pumped_storage_renewable,GB,2018,0.0,other,False
Hydro_Pure_storage,GB,2018,2830.0,other,False
Hydro_RunOfRiver_and_poundage,GB,2018,963.0,other,False
Solar_PV,GB,2018,0.0,other,False
Waste_renewable,GB,2018,5.0,other,False
Wind_offshore,GB,2018,6610.0,other,False
Wind_onshore,GB,2018,7404.0,other,False
Biomass,GB,2018,2016.0,renewable,True
Fossil Gas,GB,2019,37698.0,fossil,False
Fossil Hard coal,GB,2019,8794.0,fossil,False
Fossil Oil,GB,2019,316.0,fossil,False
Nuclear,GB,2019,9229.0,nuclear,False
Other,GB,2019,4506.13,other,False
Biomass,GB,2019,4061.0,renewable,True
Hydro Pumped Storage,GB,2019,2744.0,renewable,True
Hydro Run-of-river and poundage,GB,2019,1885.0,renewable,True
Other renewable,GB,2019,1873.0,renewable,True
Solar,GB,2019,13438.42,renewable,True
Wind Offshore,GB,2019,9379.0,renewable,True
Wind Onshore,GB,2019,13633.25,renewable,True
Fossil Gas,GB,2020,39823.0,fossil,False
Fossil Hard coal,GB,2020,7294.0,fossil,False
Fossil Oil,GB,2020,316.0,fossil,False
Nuclear,GB,2020,8209.0,nuclear,False
Other,GB,2020,4074.13,other,False
Biomass,GB,2020,4237.0,renewable,True
Hydro Pumped Storage,GB,2020,4052.0,renewable,True
Hydro Run-of-river and poundage,GB,2020,1882.0,renewable,True
Other renewable,GB,2020,2249.0,renewable,True
Solar,GB,2020,13368.42,renewable,True
Wind Offshore,GB,2020,10365.0,renewable,True
Wind Onshore,GB,2020,13830.25,renewable,True
Fossil Gas,GB,2021,41371.0,fossil,False
Fossil Hard coal,GB,2021,5755.0,fossil,False
Fossil Oil,GB,2021,316.0,fossil,False
Nuclear,GB,2021,8256.0,nuclear,False
Other,GB,2021,3004.13,other,False
Biomass,GB,2021,4528.0,renewable,True
Hydro Pumped Storage,GB,2021,4309.0,renewable,True
Hydro Run-of-river and poundage,GB,2021,1919.0,renewable,True
Other renewable,GB,2021,1900.0,renewable,True
Solar,GB,2021,13470.42,renewable,True
Wind Offshore,GB,2021,12160.0,renewable,True
Wind Onshore,GB,2021,13932.25,renewable,True
Fossil Gas,GE,2019,912.0,fossil,False
Fossil Hard coal,GE,2019,13.0,fossil,False
Hydro Run-of-river and poundage,GE,2019,1160.0,renewable,True
Hydro Water Reservoir,GE,2019,1992.0,renewable,True
Wind Onshore,GE,2019,20.0,renewable,True
Fossil Gas,GE,2020,912.0,fossil,False
Fossil Hard coal,GE,2020,13.0,fossil,False
Hydro Run-of-river and poundage,GE,2020,1058.0,renewable,True
Hydro Water Reservoir,GE,2020,2381.0,renewable,True
Wind Onshore,GE,2020,20.0,renewable,True
Fossil Gas,GE,2021,1189.0,fossil,False
Fossil Hard coal,GE,2021,0.0,fossil,False
Hydro Run-of-river and poundage,GE,2021,942.0,renewable,True
Hydro Water Reservoir,GE,2021,2381.0,renewable,True
Wind Onshore,GE,2021,21.0,renewable,True
Fossil Gas,GE,2022,1189.0,fossil,False
Hydro Run-of-river and poundage,GE,2022,1058.0,renewable,True
Hydro Water Reservoir,GE,2022,2381.0,renewable,True
Wind Onshore,GE,2022,21.0,renewable,True
Fossil Gas,GE,2023,1189.0,fossil,False
Hydro Run-of-river and poundage,GE,2023,1023.0,renewable,True
Hydro Water Reservoir,GE,2023,2381.0,renewable,True
Wind Onshore,GE,2023,21.0,renewable,True
Fossil Gas,GE,2024,1190.0,fossil,False
Hydro Run-of-river and poundage,GE,2024,1146.0,renewable,True
Hydro Water Reservoir,GE,2024,2387.0,renewable,True
Wind Onshore,GE,2024,29.0,renewable,True
Fossil Gas,GR,2014,4768.0,fossil,False
Fossil Oil,GR,2014,2449.0,fossil,False
