country,year,TOTAL,RA000,RA100,RA110,RA120,RA130,RA200,RA300,RA310,RA320,RA400,RA410,RA420,RA500_5160,CF,CF_R,CF_NR_OTH,C0000,G3000,O4000XBIO,FE,N9000,X9900,share_ra000,share_ra100,share_ra110,share_ra120,share_ra130,share_ra200,share_ra300,share_ra310,share_ra320,share_ra400,share_ra410,share_ra420,share_ra500_5160,share_cf,share_cf_r,share_cf_nr_oth,share_c0000,share_g3000,share_o4000xbio,share_fe,share_n9000,share_x9900
BA,2019,15843.396,6220.505,5944.535,0.0,0.0,0.0,0.0,253.67000000000002,188.674,0.0,22.3,0.0,22.3,0.0,9622.891,0.0,0.0,9622.891,0.0,0.0,,0.0,0.0,0.3926244726824981,0.3752058586429323,0.0,0.0,0.0,0.0,0.0160110875218924,0.011908684224013588,0.0,0.0014075265176733574,0.0,0.0014075265176733574,0.0,0.6073755273175019,0.0,0.0,0.6073755273175019,0.0,0.0,,0.0,0.0
BA,2020,15171.587,4749.704,4455.793,0.0,0.0,0.0,0.0,261.821,261.821,0.0,32.09,0.0,32.09,0.0,10421.883,0.0,0.0,10421.343,0.0,0.0,,0.0,0.0,0.3130657326751644,0.29369327018986213,0.0,0.0,0.0,0.0,0.017257324497430625,0.017257324497430625,0.0,0.002115137987871671,0.0,0.002115137987871671,0.0,0.6869342673248355,0.0,0.0,0.6868986744761771,0.0,0.0,,0.0,0.0
BA,2021,16602.759,6777.253,6348.858,5793.856,555.0020000000001,0.0,0.0,382.865,382.865,0.0,45.53,0.0,45.53,0.0,9825.506,0.0,0.0,9825.506,0.0,0.0,,0.0,0.0,0.408200408136985,0.3823977689491247,0.34896946947191126,0.0334282994772134,0.0,0.0,0.023060323889541493,0.023060323889541493,0.0,0.002742315298318792,0.0,0.002742315298318792,0.0,0.5917995918630151,0.0,0.0,0.5917995918630151,0.0,0.0,,0.0,0.0
BA,2022,14638.511,4998.629,4525.577,4375.987,149.59,0.0,0.0,391.572,391.572,0.0,81.48,0.0,81.48,0.0,9639.882,0.0,0.0,9639.882,0.0,0.0,,0.0,0.0,0.34147113733083917,0.30915555550697743,0.29893661998819415,0.010218935518783298,0.0,0.0,0.026749441934360674,0.026749441934360674,0.0,0.0055661398895010565,0.0,0.0055661398895010565,0.0,0.6585288626691608,0.0,0.0,0.6585288626691608,0.0,0.0,,0.0,0.0
BA,2023,15378.182,6962.461,6464.137,6119.392,344.745,0.0,0.0,358.154,358.154,0.0,140.17,0.0,140.17,0.0,8415.721,0.0,0.0,8415.721,0.0,0.0,,0.0,0.0,0.45274929117108903,0.4203446805350593,0.3979268810838628,0.022417799451196506,0.0,0.0,0.02328974907437043,0.02328974907437043,0.0,0.009114861561659238,0.0,0.009114861561659238,0.0,0.5472507088289109,0.0,0.0,0.5472507088289109,0.0,0.0,,0.0,0.0
BA,2024,14040.622,5524.92,4846.526,4652.342,194.184,0.0,0.0,392.728,392.728,0.0,285.666,0.0,285.666,0.0,8515.702,0.0,0.0,8515.702,0.0,0.0,8515.702,0.0,0.0,0.3934953878823887,0.3451788674319414,0.3313487109046878,0.013830156527253565,0.0,0.0,0.027970840608058534,0.027970840608058534,0.0,0.02034567984238875,0.0,0.02034567984238875,0.0,0.6065046121176113,0.0,0.0,0.6065046121176113,0.0,0.0,0.6065046121176113,0.0,0.0
BE,2015,64538.0,,1350.0,,,,0.0,5351.0,,,,,,,30153.0,,,,,,,24572.0,,,0.020917908828907,,,,0.0,0.08291239269887508,,,,,,,0.4672131147540984,,,,,,,0.38073693018066873,
BE,2016,79492.0,,1410.0,,,,0.0,5068.0,,,,,,,28625.0,,,,,,,41284.0,,,0.017737633975745987,,,,0.0,0.06375484325466714,,,,,,,0.3600991294721481,,,,,,,0.5193478589040407,
BE,2017,80291.215,14382.681,1333.3609999999999,240.111,0.0,1093.248,0.0,6183.0650000000005,3339.857,2843.207,2888.007,0.0,2888.007,0.0,29681.996,5071.496,1039.611,2220.33,21292.768,57.793,,40030.931,173.852,0.17913144046954577,0.016606561502400977,0.00299050151377084,0.0,0.013616035079304754,0.0,0.07700798898111083,0.04159679237635151,0.03541118415009662,0.035969153038722855,0.0,0.035969153038722855,0.0,0.3696792482216143,0.06316377202661587,0.012948004336464458,0.027653461216149238,0.2651942432307196,0.0007197923209905343,,0.4985717428737378,0.002165268018425179
BE,2018,69212.347,15723.195,1239.248,256.055,0.0,983.19,0.0,7177.3460000000005,3806.2169999999996,3371.129,3488.9790000000003,0.0,3488.9790000000003,0.0,30092.635,4800.812,989.2,2134.471,22111.458,56.694,,26995.628,218.509,0.22717326722065936,0.017905013393058323,0.0036995566701415288,0.0,0.01420541337804944,0.0,0.1037003701088189,0.05499332366232285,0.04870704644649603,0.05040977731906708,0.0,0.05040977731906708,0.0,0.4347870908062112,0.06936351977776452,0.014292247595649373,0.03083945412225365,0.3194727380072807,0.0008191313032629859,,0.3900406382693539,0.0031570812069124025
BE,2019,86843.276,17438.548,1095.894,244.973,0.0,850.922,0.0,9165.293,4432.79,4732.503,3529.076,0.0,3529.076,0.0,31550.644,4499.207,1024.227,2304.215,23713.09,9.905,,41306.659,195.71,0.20080481533193195,0.012619215332226758,0.002820863183466271,0.0,0.009798363663756766,0.0,0.10553831479134895,0.051043560355783904,0.05449475443556505,0.040637297008463844,0.0,0.040637297008463844,0.0,0.3633055482614451,0.05180835186364918,0.011793970093896506,0.02653302715111761,0.27305614311463794,0.00011405603814393183,,0.4756460246847436,0.0022535999217717212
BE,2020,84239.354,22000.19,1235.129,219.85,0.0,1015.28,0.0,12320.332,5356.879,6963.455,4925.703,0.0,4925.703,0.0,33009.525,4534.306,1009.992,1676.086,25777.489,11.65,,32605.786,142.88,0.2611628526970897,0.014662137603761774,0.0026098253317564614,0.0,0.01205232414294155,0.0,0.14625387559358538,0.06359116903959164,0.08266273029586622,0.05847270623656492,0.0,0.05847270623656492,0.0,0.3918539664964667,0.05382645740611922,0.011989550632119043,0.019896710034124906,0.30600292827506725,0.0001382964071638061,,0.38706120657098103,0.001696119369576362
